Date Raised,Town/City,Postcode,Flooding Category,Feedback Responsibility,Feedback Cause
2023-12-11,ST. AUSTELL,PL25 3UT,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-11,ST AUSTELL,PL25 3LN,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-11,CREDITON,EX17 3JL,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-11,TAVISTOCK,PL19 9DP,External outside bounday of property,Sewerage,Sewer condition
2023-12-11,ST CLEMENT TRURO,TR1 1SJ,External outside bounday of property,Sewerage,Equipment Failure
2023-12-11,EXETER,EX2 6LG,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-11,KINGSBRIDGE,TQ7 2TJ,External inside boundary of property,Sewerage,Hydraulic Overload
2023-12-10,LISKEARD,PL14 5BY,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-10,LISKEARD,PL14 4LR,External inside boundary of property,Sewerage,Hydraulic Overload
2023-12-10,ILFRACOMBE,EX34 9EN,External outside bounday of property,Sewerage,Blockage - Roots
2023-12-10,BARNSTAPLE,EX31 2AY,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-10,REDRUTH,TR15 3BW,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-10,REDRUTH,TR15 1QT,External outside bounday of property,Sewerage,Blockage - Roots
2023-12-10,REDRUTH,TR15 1PB,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-10,PENZANCE,TR19 6JT,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-10,FALMOUTH,TR11 5NE,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-10,KINGSBRIDGE,TQ7 1ED,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-09,NEWQUAY,TR8 5RZ,External outside bounday of property,Sewerage,Sewer condition
2023-12-09,SALTASH,PL12 4TA,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-09,BARNSTAPLE,EX31 1EU,Internal Flooding,Private,Blockage Paper/Rag
2023-12-09,NEWTON ABBOT,TQ13 7JW,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-09,OKEHAMPTON,EX20 1LU,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-09,PLYMOUTH,PL4 7LU,Internal Flooding,Unknown but not Public,Sewer condition
2023-12-09,PLYMOUTH,PL1 1RL,Internal Flooding,Private,Blockage Paper/Rag
2023-12-09,FALMOUTH,TR11 5DX,External outside bounday of property,Sewerage,Blockage - Fat
2023-12-09,PLYMOUTH,PL7 4AA,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-09,ST. IVES,TR26 2SB,External outside bounday of property,Sewerage,Blockage - Silt
2023-12-09,FALMOUTH,TR11 2TS,External inside boundary of property,Sewerage,Collapse/Burst-Sewerage
2023-12-09,KINGSBRIDGE,TQ7 2ES,Internal Flooding,Highway Authority,Hydraulic Overload
2023-12-08,PAR,PL24 2EF,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-08,LAUNCESTON,PL15 7DA,External inside boundary of property,Sewerage,Blockage - Roots
2023-12-08,LAUNCESTON,PL15 7DA,External inside boundary of property,Sewerage,Blockage - Roots
2023-12-08,BEAWORTHY,EX21 5NN,External outside bounday of property,Sewerage,Blockage - Fat
2023-12-08,PLYMOUTH,PL2 3LY,External inside boundary of property,Private,Sewer condition
2023-12-08,TORQUAY,TQ1 1PN,External outside bounday of property,Sewerage,Collapse/Burst-Sewerage
2023-12-08,REDRUTH,TR15 3BW,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-08,CALLINGTON,PL17 8NE,External inside boundary of property,Sewerage,Hydraulic Overload
2023-12-08,EXETER,EX4 6QZ,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-08,EXETER,EX4 1NF,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-08,SALCOMBE,TQ8 8DU,External outside bounday of property,Private,Blockage - Fat
2023-12-08,DAWLISH,EX7 9BU,External inside boundary of property,Sewerage,Blockage - Roots
2023-12-07,PLYMOUTH,PL5 2PL,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-07,ST BUDEAUX,PL5 1UD,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-07,ST. AUSTELL,PL25 5SP,External inside boundary of property,Sewerage,Sewer condition
2023-12-07,ST AUSTELL,PL25 5BH,Internal Flooding,Private,Collapse/Burst-Sewerage
2023-12-07,GUNNISLAKE,PL18 9NQ,Internal Flooding,Highway Authority,Hydraulic Overload
2023-12-07,GUNNISLAKE,PL18 9NJ,External inside boundary of property,Sewerage,Hydraulic Overload
2023-12-07,HONITON,EX14 9JY,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-07,AXMINSTER,EX13 5HS,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-07,NEWTON ABBOT,TQ13 7JW,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-07,TAVISTOCK,PL19 0LS,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-07,PLYMOUTH,PL7 4AA,External inside boundary of property,Sewerage,Hydraulic Overload
2023-12-07,HELSTON,TR13 9EL,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-07,HELSTON,TR12 7JS,External inside boundary of property,Sewerage,Hydraulic Overload
2023-12-07,EXETER,EX4 4AE,External inside boundary of property,Sewerage,Blockage - Roots
2023-12-07,TOTNES,TQ9 6JD,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-06,PLYMOUTH,PL6 8ST,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-06,LOOE,PL13 2HA,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-06,SOUTH MOLTON,EX36 3AZ,External outside bounday of property,Unknown but not Public,Unknown But Not Public
2023-12-06,TORQUAY,TQ2 6UB,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-06,REDRUTH,TR16 4NQ,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-06,PENZANCE,TR19 6DZ,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-06,TOTNES,TQ9 6PD,External outside bounday of property,Sewerage,Blockage - Fat
2023-12-06,DARTMOUTH,TQ6 0PB,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-05,ST. COLUMB,TR9 6RL,External outside bounday of property,Sewerage,Blockage - Fat
2023-12-05,ST. AUSTELL,PL26 8XF,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-05,ROUNDSWELL,EX31 3UD,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-05,BODMIN,PL31 2LU,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-05,Bude,EX23 0EB,External outside bounday of property,Sewerage,Blockage Paper/Rag
