Date,Part Postcode,Water Type,Compensation Claimed Y/N,Compensation Amount,Incident Type,Cause,Depth of Flood
2020-06-08 14:21:30,WN8,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-08 14:36:57,WA11,Sewer,Y,88.39,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-08 14:37:32,OL6,Sewer,Y,112.33,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-08 15:03:23,BL1,Sewer,N,0.0,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-08 15:29:26,CH46,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-08 16:18:25,OL1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-08 16:35:18,WN1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-08 16:35:18,WN1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-08 17:05:48,BL3,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-08 17:05:48,BL3,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-08 17:49:45,M40,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-08 17:49:45,M40,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-08 17:49:45,M40,Sewer,Y,180.41,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-08 19:16:26,WN7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-08 19:27:39,M35,Sewer,Y,138.42,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-08 19:27:39,M35,Sewer,Y,179.56,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-08 20:54:46,PR1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-09 00:00:00,BB9 8,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-09 00:00:00,BL3 2,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-09 00:00:00,CA13 0,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-09 00:00:00,L6 9,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-09 00:00:00,M21 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-09 00:00:00,M32 8,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-09 00:00:00,M33 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-09 00:00:00,M45 8,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-09 00:00:00,OL2 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-09 00:00:00,OL2 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-09 00:00:00,PR1 9,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-09 00:00:00,WA10 2,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-09 00:00:00,WA16 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-09 00:00:00,WN5 8,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-09 00:00:00,BL1 4,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-09 00:00:00,BL9 6,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-09 00:00:00,M25 9,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-09 00:00:00,OL13 0,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-09 00:00:00,OL13 0,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-09 00:00:00,OL5 0,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-09 09:11:44,,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-09 09:21:13,LA4,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-09 09:28:13,OL11,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-09 12:08:06,BL3,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-09 12:08:06,BL3,Sewer,N,0.0,External,UU Responsibility,
2020-06-09 12:36:21,M9,Sewer,Y,292.74,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-09 12:53:21,OL7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-09 13:29:45,L36,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-09 13:38:38,CW12,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-09 16:22:10,PR25,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-09 16:24:27,SK12,Sewer,Y,124.98,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-09 16:29:57,M24,Sewer,Y,75.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-09 16:58:12,OL2,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-09 17:55:04,PR5,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-09 18:22:02,WN6,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-09 18:45:20,M32,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 00:00:00,BB12 0,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-10 00:00:00,BL9 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-10 00:00:00,L12 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-10 00:00:00,L4 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-10 00:00:00,M30 8,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-10 00:00:00,PR8 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-10 00:00:00,M6 7,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-10 00:00:00,OL10 3,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-10 00:00:00,SK14 4,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-10 00:00:00,WN7 3,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-10 07:23:29,FY1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 08:08:38,CW8,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 10:42:55,CW2,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 10:45:15,L31,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 10:45:15,L31,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 10:45:15,L31,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 11:31:07,M16,Sewer,Y,178.82,Internal,UU Responsibility,
2020-06-10 11:51:41,FY1,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-10 11:57:39,L31,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 12:17:13,FY1,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-10 12:36:24,SK22,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 13:22:14,L13,Sewer,Y,216.15,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 13:22:14,L13,Sewer,Y,224.66,Internal,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-10 13:45:08,,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 14:09:08,L37,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 15:07:38,OL13,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 15:07:38,OL13,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 15:15:11,SK14,Sewer,Y,75.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 15:49:03,L24,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 15:49:03,L24,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-10 21:26:26,CW4,Sewer,Y,147.22,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-11 00:00:00,CA28 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-11 00:00:00,CH41 9,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-11 00:00:00,CW11 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-11 00:00:00,L13 8,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-11 00:00:00,M11 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-11 00:00:00,M18 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-11 00:00:00,M19 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-11 00:00:00,OL16 5,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-11 00:00:00,ST7 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-11 00:00:00,M45 8,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-11 09:12:36,OL11,Sewer,Y,81.64,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-11 11:12:41,WN1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-11 11:12:41,WN1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-11 11:22:10,OL1,Sewer,N,0.0,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-11 12:06:21,FY1,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-11 12:10:38,BB12,Sewer,Y,93.61,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-11 12:18:25,OL13,Sewer,Y,150.0,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-11 15:22:58,BB4,Sewer,Y,150.0,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-11 17:35:25,BB2,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-11 22:10:56,M27,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-12 00:00:00,BB12 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-12 00:00:00,BB5 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-12 00:00:00,WN3 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-12 00:00:00,FY7 6,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-12 00:00:00,M25 1,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-12 00:00:00,OL16 2,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-12 00:00:00,OL16 3,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-12 00:00:00,SK3 8,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-12 08:58:02,CW6,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-12 11:11:25,WA8,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-12 11:34:27,BL9,Sewer,Y,143.82,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-12 13:08:36,ST7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-12 13:29:56,M27,Sewer,Y,115.74,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-12 13:29:56,M27,Sewer,Y,115.74,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-12 13:35:49,WN8,Sewer,N,0.0,Internal,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-12 13:35:49,WN8,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-12 14:30:21,WN4,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-12 14:46:46,LA9,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-12 15:11:05,LA7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-12 15:58:55,CA28,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-12 16:25:21,L20,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-12 16:32:45,BL8,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-12 18:32:31,BL5,Sewer,Y,137.86,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-12 18:37:52,L39,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-12 18:42:47,CA2,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-13 00:00:00,BB10 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-13 00:00:00,BB12 0,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-13 00:00:00,BL4 9,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-13 00:00:00,CH42 0,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-13 00:00:00,CH45 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-13 00:00:00,L4 2,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-13 00:00:00,M6 8,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-13 00:00:00,PR9 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-13 00:00:00,WA8 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-13 00:00:00,BB5 3,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-13 00:00:00,L8 3,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-13 00:00:00,M27 5,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-13 00:00:00,M8 5,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-13 00:00:00,SK6 6,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-13 09:28:32,FY5,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-13 10:07:24,BB9,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-13 11:34:40,SK14,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-13 12:20:14,OL10,Sewer,Y,113.18,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-13 12:41:38,WN7,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-13 13:42:36,PR2,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-13 13:59:59,M8,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-13 13:59:59,M8,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-13 14:20:56,BB1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-13 14:20:56,BB1,Sewer,N,0.0,External,UU Responsibility,
2020-06-13 14:20:56,BB1,Sewer,Y,107.23,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-13 16:31:50,LA14,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-13 16:54:36,CW4,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-13 17:47:03,LA1,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 00:00:00,BB10 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-14 00:00:00,BB9 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-14 00:00:00,BL9 9,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-14 00:00:00,CW10 9,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-14 00:00:00,FY2 0,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-14 00:00:00,L22 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-14 00:00:00,L6 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-14 00:00:00,LA14 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-14 00:00:00,M21 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-14 00:00:00,SK16 4,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-14 08:31:06,CH45,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 08:31:06,CH45,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-14 08:31:06,CH45,Sewer,Y,108.65,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-14 08:31:06,CH45,Sewer,Y,109.89,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 08:50:05,WA7,Sewer,Y,87.48,External,UU Responsibility,Major Spill - 50mm +
2020-06-14 08:55:31,L25,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 09:37:57,M33,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 10:03:47,BB9,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 10:16:30,M43,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 10:16:30,M43,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 10:43:25,L16,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 10:43:25,L16,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 12:08:16,OL2,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 12:25:50,L4,Sewer,N,0.0,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 12:40:10,M40,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 13:26:12,L21,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 13:29:28,BL5,Sewer,Y,144.67,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 17:24:31,CH45,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 17:31:25,CH45,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 17:31:25,CH45,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-14 19:51:30,PR26,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 00:00:00,BB2 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-15 00:00:00,BL3 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-15 00:00:00,CH43 6,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-15 00:00:00,CW9 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-15 00:00:00,CW9 8,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-15 00:00:00,FY5 3,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-15 00:00:00,FY7 8,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-15 00:00:00,L11 1,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-15 00:00:00,L33 9,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-15 00:00:00,M41 7,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-15 00:00:00,PR6 8,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-15 00:00:00,PR9 0,Sewer,N,0.0,Curtilage Flood,Private - Not UU,
2020-06-15 00:00:00,BB4 5,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,BL3 5,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,BL7 9,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,L6 4,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,M21 8,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,M32 0,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,M32 8,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,M41 5,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,M41 6,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,M41 6,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,M41 7,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,OL12 6,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,OL16 1,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,OL16 1,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,OL16 3,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,OL16 3,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,OL16 4,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,PR7 3,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,WA14 2,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,WA14 3,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,WA14 5,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 00:00:00,WN2 2,Sewer,N,0.0,Internal Flood,Private - Not UU,
2020-06-15 08:10:05,WA6,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 08:50:35,LA11,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 09:09:23,PR6,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 10:05:23,PR8,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 11:43:17,WA2,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 12:03:05,WA7,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 12:03:05,WA7,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 12:03:05,WA7,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 12:03:05,WA7,Sewer,N,0.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 13:30:22,PR4,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 13:48:14,BL6,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 13:48:14,BL6,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 13:48:14,BL6,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 13:48:14,BL6,Sewer,Y,150.0,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 13:50:31,BL4,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 13:50:31,BL4,Sewer,Y,143.82,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 14:00:28,L20,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 14:20:00,M32,Sewer,Y,176.16,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 14:25:02,OL8,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 14:30:00,WN2,Sewer,Y,75.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 14:30:00,WN2,Sewer,Y,75.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 14:30:00,WN2,Sewer,Y,75.0,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 14:30:00,WN2,Sewer,Y,86.8,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 14:30:00,WN2,Sewer,Y,151.48,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 14:30:00,WN2,Sewer,Y,163.39,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 14:45:00,M21,Sewer,N,0.0,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 14:45:00,M21,Sewer,N,0.0,Internal,UU Responsibility,Major Spill - 50mm +
2020-06-15 14:45:00,M32,Sewer,Y,307.49,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 14:45:00,M32,Sewer,Y,399.41,Internal,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 14:46:00,M32,Sewer,Y,102.92,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 14:46:00,M32,Sewer,Y,108.65,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 14:46:00,M32,Sewer,Y,126.67,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 14:46:00,M32,Sewer,Y,128.45,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 14:46:00,M32,Sewer,Y,148.07,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 14:48:00,WN2,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 14:54:00,WN2,Sewer,Y,145.52,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 15:00:00,M41,Sewer,N,0.0,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 15:00:00,M41,Sewer,Y,98.25,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 15:00:00,M41,Sewer,Y,111.52,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 15:00:00,M32,Sewer,Y,165.43,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 15:00:00,M32,Sewer,Y,179.95,External,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 15:00:00,M32,Sewer,Y,193.34,Internal,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 15:00:00,M41,Sewer,Y,201.69,External,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 15:00:00,M32,Sewer,Y,207.64,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 15:00:00,M32,Sewer,Y,207.64,Internal,UU Responsibility,Minor Spill - 1 to 25mm
2020-06-15 15:00:00,M32,Sewer,Y,207.64,Internal,UU Responsibility,Major Spill - 50mm +
2020-06-15 15:00:00,M32,Sewer,Y,210.22,Internal,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 15:00:00,M30,Sewer,Y,211.81,Internal,UU Responsibility,Moderate Spill - 26 to 50mm
2020-06-15 15:00:00,M32,Sewer,Y,221.26,Internal,UU Responsibility,Moderate Spill - 26 to 50mm
