Postcode,Raised Date,Flooding Cause,Location Of Flooding
PL12 4,2021-12-03,Blockage - Fat,Garden/Yard
PL6 6,2021-12-04,Blockage - Non sewage debris,Garden/Yard
TQ7 2,2021-12-04,Blockage - Paper rag,Garden/Yard
TR13 8,2021-12-04,Blockage - Non sewage debris,Garden/Yard
TQ9 5,2021-12-04,Blockage - Roots,Driveway
TQ14 8,2021-12-05,Blockage - Paper rag,Garden/Yard
TQ7 1,2021-12-05,Blockage - Roots,Garden/Yard
TR26 3,2021-12-05,Blockage - Roots,Garden/Yard
TQ7 1,2021-12-05,Blockage - Roots,Garden/Yard
EX13 5,2021-12-06,Blockage - Paper rag,Garden/Yard
PL12 4,2021-12-06,Blockage - Fat,Garden/Yard
TQ12 6,2021-12-06,Blockage - Non sewage debris,Garden/Yard
TA20 4,2021-12-06,Blockage - Paper rag,Garden/Yard
EX23 9,2021-12-06,Blockage - Paper rag,Detached Garage/Store (& garages without internal connecting door to property)
TR18 2,2021-12-07,Blockage - Non sewage debris,Garden/Yard
TR3 7,2021-12-07,Blockage - Non sewage debris,Garden/Yard
EX11 1,2021-12-07,Blockage - Non sewage debris,Garden/Yard
EX7 9,2021-12-07,Blockage - Roots,Garden/Yard
EX10 9,2021-12-07,Blockage - Non sewage debris,Driveway
EX12 2,2021-12-07,Blockage - Non sewage debris,Driveway
TQ1 3,2021-12-07,Hydraulic Overload,Driveway
EX16 7,2021-12-07,Blockage - Paper rag,Garden/Yard
PL3 4,2021-12-08,Blockage - Paper rag,Garden/Yard
TQ6 9,2021-12-08,Collapse/Burst,Garden/Yard
EX33 2,2021-12-08,Blockage - Paper rag,Driveway
PL25 3,2021-12-08,Blockage - Paper rag,Garden/Yard
TQ9 7,2021-12-08,Blockage - Non sewage debris,Garden/Yard
EX39 1,2021-12-08,Blockage - Paper rag,Garden/Yard
PL27 7,2021-12-09,Blockage - Paper rag,Garden/Yard
PL6 8,2021-12-09,Blockage - Paper rag,Garden/Yard
TR12 6,2021-12-10,Collapse/Burst,Garden/Yard
EX4 9,2021-12-10,Blockage - Paper rag,Garden/Yard
TR7 3,2021-12-10,Partial Collapse,Driveway
EX17 1,2021-12-11,Blockage - Roots,Driveway
TQ14 0,2021-12-11,Blockage - Non sewage debris,Garden/Yard
TR2 5,2021-12-12,Blockage - Non sewage debris,Garden/Yard
TQ1 3,2021-12-13,Blockage - Paper rag,Garden/Yard
EX39 2,2021-12-14,Partial Collapse,Garden/Yard
TR9 6,2021-12-14,Blockage - Paper rag,Garden/Yard
TR16 5,2021-12-14,Blockage - Paper rag,Driveway
TQ2 8,2021-12-15,Partial Collapse,Garden/Yard
TR8 4,2021-12-15,Blockage - Paper rag,Garden/Yard
PL12 6,2021-12-15,Blockage - Paper rag,Garden/Yard
EX39 3,2021-12-15,Blockage - Paper rag,Garden/Yard
PL15 8,2021-12-15,Blockage - Non sewage debris,Garden/Yard
TR14 7,2021-12-16,Partial Collapse,Garden/Yard
TR11 2,2021-12-16,Blockage - Fat,Garden/Yard
PL31 1,2021-12-17,Blockage - Non sewage debris,Garden/Yard
EX4 8,2021-12-17,Blockage - Fat,Driveway
TR9 6,2021-12-17,Blockage - Roots,Garden/Yard
TQ12 6,2021-12-17,Blockage - Non sewage debris,Garden/Yard
PL31 1,2021-12-17,Blockage - Non sewage debris,Garden/Yard
TR14 0,2021-12-17,Blockage - Paper rag,Garden/Yard
TR14 0,2021-12-17,Blockage - Paper rag,Garden/Yard
TQ2 8,2021-12-18,Blockage - Paper rag,Garden/Yard
TR1 1,2021-12-18,Blockage - Paper rag,Garden/Yard
EX36 4,2021-12-18,Blockage - Fat,Garden/Yard
EX4 7,2021-12-18,Blockage - Non sewage debris,Garden/Yard
TQ2 8,2021-12-19,Partial Collapse,Garden/Yard
EX8 4,2021-12-19,Blockage - Paper rag,Driveway
PL14 4,2021-12-19,Blockage - Paper rag,Driveway
EX16 4,2021-12-19,Blockage - Paper rag,Garden/Yard
PL26 8,2021-12-20,Blockage - Fat,Driveway
TR14 8,2021-12-20,Blockage - Non sewage debris,Garden/Yard
PL5 4,2021-12-20,Blockage - Paper rag,Garden/Yard
TQ2 8,2021-12-20,Blockage - Non sewage debris,Garden/Yard
PL14 3,2021-12-20,Blockage - Paper rag,Garden/Yard
EX4 8,2021-12-20,Blockage - Paper rag,Garden/Yard
EX14 1,2021-12-20,Blockage - Non sewage debris,Garden/Yard
EX4 1,2021-12-20,Blockage - Fat,Garden/Yard
TQ2 7,2021-12-20,Blockage - Paper rag,Garden/Yard
PL21 0,2021-12-20,Blockage - Paper rag,Garden/Yard
EX4 5,2021-12-21,Blockage - Non sewage debris,Garden/Yard
PL5 4,2021-12-21,Blockage - Paper rag,Garden/Yard
PL19 9,2021-12-21,Blockage - Paper rag,Garden/Yard
EX6 7,2021-12-21,Blockage - Roots,Garden/Yard
TQ2 5,2021-12-21,Blockage - Paper rag,Private Carpark
TQ4 5,2021-12-21,Blockage - Paper rag,Garden/Yard
PL19 9,2021-12-21,Blockage - Paper rag,Garden/Yard
TQ14 0,2021-12-22,Blockage - Non sewage debris,Garden/Yard
TQ6 9,2021-12-22,Blockage - Roots,Driveway
TR26 1,2021-12-23,Blockage - Paper rag,Garden/Yard
PL14 4,2021-12-23,Blockage - Non sewage debris,Driveway
PL26 8,2021-12-23,Blockage - Non sewage debris,Driveway
EX23 8,2021-12-23,Partial Collapse,Driveway
TR26 1,2021-12-23,Blockage - Paper rag,Garden/Yard
TR15 3,2021-12-24,Blockage - Non sewage debris,Garden/Yard
EX5 4,2021-12-24,Blockage - Paper rag,Garden/Yard
EX32 0,2021-12-24,Partial Collapse,Garden/Yard
TR3 6,2021-12-24,Blockage - Paper rag,Garden/Yard
PL29 3,2021-12-24,Blockage - Fat,Driveway
EX16 6,2021-12-25,Blockage - Fat,Driveway
TQ14 0,2021-12-25,Hydraulic Overload,Garden/Yard
EX4 2,2021-12-25,Blockage - Non sewage debris,Garden/Yard
TQ2 7,2021-12-26,Blockage - Non sewage debris,Garden/Yard
EX5 4,2021-12-26,Blockage - Paper rag,Garden/Yard
TR15 3,2021-12-26,Blockage - Fat,Garden/Yard
EX7 0,2021-12-26,Blockage - Paper rag,Garden/Yard
PL6 5,2021-12-26,Blockage - Paper rag,Garden/Yard
TQ3 3,2021-12-26,Blockage - Non sewage debris,Driveway
PL25 3,2021-12-26,Blockage - Non sewage debris,Garden/Yard
TQ13 8,2021-12-26,Blockage - Paper rag,Garden/Yard
EX7 0,2021-12-26,Blockage - Paper rag,Garden/Yard
EX17 3,2021-12-27,Blockage - Non sewage debris,Garden/Yard
TQ12 3,2021-12-27,Blockage - Roots,Garden/Yard
EX17 2,2021-12-27,Blockage - Roots,Garden/Yard
EX13 5,2021-12-27,Blockage - Fat,Garden/Yard
TQ2 8,2021-12-27,Blockage - Paper rag,Garden/Yard
PL1 4,2021-12-27,Blockage - Non sewage debris,Garden/Yard
EX17 2,2021-12-27,Blockage - Roots,Garden/Yard
EX10 8,2021-12-28,Blockage - Roots,Driveway
TR11 4,2021-12-28,Blockage - Paper rag,Driveway
TQ12 5,2021-12-28,Blockage - Paper rag,Garden/Yard
PL3 6,2021-12-28,Blockage - Roots,Garden/Yard
PL9 9,2021-12-28,Blockage - Fat,Garden/Yard
EX31 4,2021-12-29,Partial Collapse,Garden/Yard
TQ5 9,2021-12-29,Blockage - Non sewage debris,Garden/Yard
TQ2 7,2021-12-29,Blockage - Paper rag,Driveway
PL1 1,2021-12-29,Blockage - Fat,Garden/Yard
TQ6 0,2021-12-30,Partial Collapse,Driveway
TR14 8,2021-12-30,Blockage - Non sewage debris,Garden/Yard
TQ1 2,2021-12-31,Blockage - Paper rag,Driveway
TQ2 8,2021-12-31,Blockage - Roots,Garden/Yard
TQ5 9,2021-12-31,Blockage - Paper rag,Driveway
TR10 8,2021-12-31,Partial Collapse,Garden/Yard
EX12 3,2021-12-31,Partial Collapse,Garden/Yard
TQ2 8,2021-12-31,Blockage - Roots,Garden/Yard
TR13 8,2022-01-01,Blockage - Paper rag,Garden/Yard
EX31 2,2022-01-01,Blockage - Paper rag,Garden/Yard
TQ14 8,2022-01-01,Blockage - Paper rag,Garden/Yard
TR6 0,2022-01-02,Blockage - Paper rag,Driveway
PL22 0,2022-01-02,Blockage - Paper rag,Garden/Yard
TR18 2,2022-01-03,Blockage - Paper rag,Garden/Yard
TQ14 8,2022-01-03,Blockage - Paper rag,Garden/Yard
TR16 5,2022-01-03,Blockage - Paper rag,Garden/Yard
PL25 3,2022-01-03,Blockage - Fat,Garden/Yard
TQ1 3,2022-01-03,Blockage - Non sewage debris,Garden/Yard
EX4 1,2022-01-04,Blockage - Non sewage debris,Garden/Yard
PL15 7,2022-01-04,Blockage - Non sewage debris,Driveway
TR15 3,2022-01-04,Blockage - Paper rag,Garden/Yard
TR4 8,2022-01-04,Blockage - Roots,Garden/Yard
TQ13 9,2022-01-04,Blockage - Paper rag,Garden/Yard
TQ12 5,2022-01-05,Blockage - Paper rag,Garden/Yard
EX24 6,2022-01-05,Blockage - Non sewage debris,Garden/Yard
EX17 3,2022-01-05,Blockage - Paper rag,Garden/Yard
EX20 2,2022-01-05,Blockage - Paper rag,Garden/Yard
EX39 3,2022-01-05,Blockage - Paper rag,Garden/Yard
PL5 1,2022-01-06,Blockage - Paper rag,Driveway
PL5 2,2022-01-06,Collapse/Burst,Garden/Yard
EX13 5,2022-01-06,Blockage - Roots,Garden/Yard
PL25 3,2022-01-07,Blockage - Paper rag,Garden/Yard
EX2 5,2022-01-07,Blockage - Paper rag,Garden/Yard
TR15 3,2022-01-07,Blockage - Non sewage debris,Garden/Yard
TR26 3,2022-01-08,Blockage - Roots,Garden/Yard
PL26 7,2022-01-08,Blockage - Paper rag,Driveway
TR20 9,2022-01-08,Hydraulic Overload,Garden/Yard
TQ12 3,2022-01-08,Blockage - Paper rag,Garden/Yard
TR26 3,2022-01-08,Blockage - Roots,Garden/Yard
EX4 2,2022-01-09,Blockage - Paper rag,Garden/Yard
PL15 7,2022-01-09,Blockage - Paper rag,Garden/Yard
PL15 8,2022-01-10,Blockage - Paper rag,Garden/Yard
TR8 4,2022-01-10,Blockage - Fat,Driveway
EX36 3,2022-01-10,Blockage - Paper rag,Garden/Yard
TQ1 3,2022-01-10,Blockage - Non sewage debris,Garden/Yard
TR14 7,2022-01-10,Blockage - Paper rag,Garden/Yard
EX4 6,2022-01-11,Blockage - Roots,Garden/Yard
EX15 1,2022-01-11,Blockage - Paper rag,Garden/Yard
TQ3 3,2022-01-11,Blockage - Paper rag,Garden/Yard
TQ11 0,2022-01-12,Blockage - Paper rag,Garden/Yard
PL17 8,2022-01-12,Blockage - Paper rag,Garden/Yard
TQ2 8,2022-01-12,Blockage - Paper rag,Garden/Yard
PL11 3,2022-01-12,Blockage - Paper rag,Garden/Yard
EX7 0,2022-01-12,Blockage - Roots,Garden/Yard
TQ3 3,2022-01-12,Blockage - Paper rag,Garden/Yard
PL17 8,2022-01-12,Blockage - Paper rag,Garden/Yard
PL24 2,2022-01-13,Blockage - Paper rag,Driveway
EX7 0,2022-01-13,Blockage - Paper rag,Driveway
TR10 8,2022-01-13,Blockage - Paper rag,Garden/Yard
TQ12 1,2022-01-13,Blockage - Paper rag,Garden/Yard
TQ6 9,2022-01-13,Blockage - Paper rag,Garden/Yard
TQ3 3,2022-01-14,Blockage - Roots,Garden/Yard
TR16 6,2022-01-14,Blockage - Paper rag,Garden/Yard
TR16 4,2022-01-14,Blockage - Paper rag,Garden/Yard
TQ1 1,2022-01-14,Blockage - Paper rag,Garden/Yard
PL12 6,2022-01-15,Blockage - Paper rag,Garden/Yard
PL21 0,2022-01-15,Blockage - Paper rag,Garden/Yard
PL27 7,2022-01-15,Blockage - Paper rag,Garden/Yard
PL27 6,2022-01-16,Blockage - Non sewage debris,Garden/Yard
EX17 6,2022-01-16,Blockage - Paper rag,Garden/Yard
EX2 7,2022-01-17,Blockage - Paper rag,Garden/Yard
TQ2  7,2022-01-17,Blockage - Non sewage debris,Garden/Yard
PL25 5,2022-01-17,Blockage - Silt,Garden/Yard
PL12 4,2022-01-17,Blockage - Non sewage debris,Driveway
TR2 4,2022-01-17,Blockage - Paper rag,Garden/Yard
TR14 7,2022-01-17,Blockage - Non sewage debris,Garden/Yard
TR1 3,2022-01-17,Blockage - Paper rag,Garden/Yard
TR4 9,2022-01-18,Blockage - Fat,Garden/Yard
TR1 1,2022-01-18,Blockage - Non sewage debris,Driveway
TQ11 0,2022-01-18,Blockage - Roots,Garden/Yard
PL13 2,2022-01-18,Blockage - Paper rag,Garden/Yard
PL11 2,2022-01-19,Collapse/Burst,Garden/Yard
TR15 3,2022-01-20,Blockage - Paper rag,Garden/Yard
PL31 2,2022-01-20,Blockage - Paper rag,Garden/Yard
TR13 8,2022-01-21,Blockage - Paper rag,Garden/Yard
PL11 3,2022-01-21,Blockage - Roots,Driveway
TR9 6,2022-01-21,Blockage - Non sewage debris,Garden/Yard
TQ12 6,2022-01-21,Blockage - Paper rag,Driveway
PL21 0,2022-01-21,Blockage - Paper rag,Garden/Yard
EX5 5,2022-01-21,Blockage - Roots,Garden/Yard
PL26 8,2022-01-22,Blockage - Paper rag,Garden/Yard
TR16 6,2022-01-23,Blockage - Paper rag,Garden/Yard
DT7 3,2022-01-23,Blockage - Non sewage debris,Garden/Yard
PL21 0,2022-01-23,Blockage - Paper rag,Garden/Yard
TR13 8,2022-01-23,Blockage - Paper rag,Garden/Yard
TQ12 4,2022-01-23,Blockage - Paper rag,Driveway
TR20 9,2022-01-24,Blockage - Paper rag,Garden/Yard
PL20 6,2022-01-24,Blockage - Paper rag,Garden/Yard
PL19 8,2022-01-24,Blockage - Paper rag,Private Carpark
PL5 4,2022-01-25,Blockage - Paper rag,Garden/Yard
PL2 1,2022-01-25,Blockage - Paper rag,Driveway
,2022-01-25,Blockage - Paper rag,Garden/Yard
PL25 3,2022-01-25,Blockage - Paper rag,Driveway
PL25 3,2022-01-25,Blockage - Paper rag,Driveway
,2022-01-26,Blockage - Non sewage debris,Garden/Yard
PL4 8,2022-01-26,Blockage - Paper rag,Garden/Yard
TR3 6,2022-01-26,Blockage - Paper rag,Garden/Yard
TR18 5,2022-01-26,Blockage - Fat,Garden/Yard
PL26 6,2022-01-27,Blockage - Non sewage debris,Garden/Yard
PL26 8,2022-01-27,Blockage - Paper rag,Garden/Yard
PL11 2,2022-01-27,Blockage - Paper rag,Garden/Yard
PL26 8,2022-01-27,Blockage - Paper rag,Garden/Yard
,2022-01-27,Blockage - Paper rag,Garden/Yard
EX7 9,2022-01-28,Blockage - Paper rag,Garden/Yard
TQ9 5,2022-01-28,Blockage - Roots,Garden/Yard
PL30 5,2022-01-28,Blockage - Paper rag,Garden/Yard
PL5 1,2022-01-28,Blockage - Paper rag,Garden/Yard
TQ7 2,2022-01-29,Blockage - Non sewage debris,Garden/Yard
EX14 1,2022-01-29,Blockage - Non sewage debris,Garden/Yard
TQ3 1,2022-01-29,Blockage - Non sewage debris,Garden/Yard
EX14 1,2022-01-29,Blockage - Non sewage debris,Garden/Yard
TQ4 5,2022-01-30,Blockage - Non sewage debris,Garden/Yard
EX38 8,2022-01-30,Blockage - Non sewage debris,Garden/Yard
PL6 7,2022-01-30,Blockage - Paper rag,Garden/Yard
PL5 4,2022-01-30,Blockage - Paper rag,Garden/Yard
PL26 7,2022-01-30,Blockage - Paper rag,Driveway
EX14 1,2022-01-30,Blockage - Paper rag,Garden/Yard
TR7 1,2022-01-30,Third Party Damage,Garden/Yard
PL14 5,2022-01-31,Blockage - Paper rag,Garden/Yard
PL1 5,2022-01-31,Blockage - Paper rag,Garden/Yard
PL8 1,2022-01-31,Blockage - Paper rag,Garden/Yard
PL19 8,2022-01-31,Blockage - Paper rag,Private Carpark
PL31 1,2022-01-31,Blockage - Paper rag,Garden/Yard
PL3 6,2022-02-01,Blockage - Paper rag,Garden/Yard
EX2 7,2022-02-01,Blockage - Fat,Garden/Yard
TR16 4,2022-02-01,Partial Collapse,Garden/Yard
PL5 3,2022-02-02,Blockage - Paper rag,Garden/Yard
TR12 6,2022-02-03,Blockage - Paper rag,Garden/Yard
TR2 4,2022-02-03,Blockage - Paper rag,Garden/Yard
PL25 5,2022-02-04,Blockage - Paper rag,Driveway
PL25 3,2022-02-04,Blockage - Paper rag,Garden/Yard
EX12 2,2022-02-05,Blockage - Non sewage debris,Garden/Yard
PL27 7,2022-02-05,Blockage - Non sewage debris,Garden/Yard
EX2 5,2022-02-05,Blockage - Non sewage debris,Garden/Yard
TR15 2,2022-02-06,Blockage - Paper rag,Garden/Yard
TR15 3,2022-02-06,Blockage - Roots,Garden/Yard
TR26 1,2022-02-06,Blockage - Paper rag,Garden/Yard
TR5 0,2022-02-06,Blockage - Paper rag,Garden/Yard
PL6 7,2022-02-06,Blockage - Paper rag,Garden/Yard
EX39 1,2022-02-06,Blockage - Paper rag,Private Carpark
TR27 6,2022-02-06,Blockage - Paper rag,Garden/Yard
TR14 7,2022-02-06,Blockage - Paper rag,Garden/Yard
PL14 6,2022-02-06,Blockage - Non sewage debris,Garden/Yard
EX39 1,2022-02-07,Blockage - Paper rag,Garden/Yard
TQ5 0,2022-02-07,Blockage - Fat,Garden/Yard
TR1 2,2022-02-07,Blockage - Roots,Garden/Yard
EX36 3,2022-02-07,Blockage - Roots,Garden/Yard
TQ14 9,2022-02-07,Blockage - Paper rag,Driveway
EX11 1,2022-02-07,Blockage - Paper rag,Garden/Yard
EX14 2,2022-02-08,Blockage - Paper rag,Greenhouse
EX22 6,2022-02-08,Blockage - Paper rag,Garden/Yard
PL17 8,2022-02-09,Blockage - Fat,Garden/Yard
TQ7 2,2022-02-09,Blockage - Paper rag,Driveway
TR18 4,2022-02-09,Blockage - Paper rag,Garden/Yard
EX13 5,2022-02-09,Blockage - Roots,Garden/Yard
PL14 5,2022-02-09,Blockage - Non sewage debris,Driveway
PL5 3,2022-02-09,Blockage - Paper rag,Garden/Yard
TQ14 8,2022-02-10,Blockage - Paper rag,Garden/Yard
PL16 0,2022-02-10,Blockage - Paper rag,Garden/Yard
TR27 4,2022-02-10,Blockage - Paper rag,Garden/Yard
TQ12 1,2022-02-11,Blockage - Paper rag,Garden/Yard
PL12 6,2022-02-11,Blockage - Paper rag,Garden/Yard
PL12 6,2022-02-11,Blockage - Paper rag,Garden/Yard
TR7 2,2022-02-12,Blockage - Paper rag,Garden/Yard
TR1 3,2022-02-13,Blockage - Paper rag,Garden/Yard
EX17 5,2022-02-14,Blockage - Paper rag,Garden/Yard
TR20 9,2022-02-14,Blockage - Paper rag,Garden/Yard
TQ14 9,2022-02-14,Blockage - Paper rag,Garden/Yard
TR20 9,2022-02-14,Blockage - Paper rag,Garden/Yard
PL31 1,2022-02-15,Blockage - Paper rag,Garden/Yard
PL21 0,2022-02-16,Blockage - Paper rag,Garden/Yard
PL4 8,2022-02-16,Blockage - Paper rag,Garden/Yard
PL31 1,2022-02-16,Blockage - Roots,Garden/Yard
TR6 0,2022-02-16,Blockage - Non sewage debris,Garden/Yard
TR14 8,2022-02-16,Blockage - Paper rag,Garden/Yard
TR6 0,2022-02-16,Blockage - Non sewage debris,Garden/Yard
TA22 9,2022-02-17,Blockage - Non sewage debris,Garden/Yard
PL30 5,2022-02-17,Blockage - Paper rag,Garden/Yard
DT7 3,2022-02-17,Blockage - Paper rag,Garden/Yard
PL9 9,2022-02-17,Blockage - Paper rag,Garden/Yard
PL9 8,2022-02-17,Blockage - Paper rag,Garden/Yard
PL9 8,2022-02-17,Blockage - Paper rag,Garden/Yard
PL20 6,2022-02-18,Blockage - Paper rag,Driveway
TQ9 6,2022-02-18,Blockage - Paper rag,Garden/Yard
TQ14 9,2022-02-18,Blockage - Paper rag,Garden/Yard
TR11 4,2022-02-19,Blockage - Paper rag,Detached Garage/Store (& garages without internal connecting door to property)
TQ5 8,2022-02-19,Blockage - Paper rag,Garden/Yard
PL2 1,2022-02-19,Blockage - Non sewage debris,Garden/Yard
TQ14 8,2022-02-20,Blockage - Paper rag,Garden/Yard
TR14 0,2022-02-20,Blockage - Non sewage debris,Garden/Yard
TQ2 5,2022-02-21,Blockage - Fat,Garden/Yard
TR3 6,2022-02-21,Pump Station Breakdown,Garden/Yard
PL7 2,2022-02-21,Blockage - Paper rag,Garden/Yard
PL28 8,2022-02-21,Blockage - Paper rag,Garden/Yard
EX2 6,2022-02-22,Blockage - Paper rag,Garden/Yard
PL27 7,2022-02-22,Blockage - Paper rag,Garden/Yard
EX2 6,2022-02-22,Blockage - Fat,Garden/Yard
PL25 3,2022-02-22,Blockage - Paper rag,Driveway
TQ14 8,2022-02-22,Blockage - Non sewage debris,Garden/Yard
PL12 4,2022-02-23,Blockage - Paper rag,Driveway
EX13 5,2022-02-24,Blockage - Roots,Garden/Yard
PL6 7,2022-02-24,Blockage - Paper rag,Garden/Yard
TQ3 3,2022-02-24,Blockage - Paper rag,Garden/Yard
PL13 2,2022-02-25,Blockage - Paper rag,Garden/Yard
PL17 8,2022-02-25,Blockage - Non sewage debris,Garden/Yard
PL14 4,2022-02-25,Blockage - Paper rag,Garden/Yard
EX15 3,2022-02-26,Blockage - Paper rag,Garden/Yard
EX4 1,2022-02-26,Blockage - Paper rag,Garden/Yard
EX39 3,2022-02-26,Blockage - Paper rag,Garden/Yard
TQ14 8,2022-02-27,Blockage - Paper rag,Driveway
PL5 4,2022-02-27,Blockage - Paper rag,Driveway
PL31 1,2022-02-27,Blockage - Paper rag,Garden/Yard
,2022-02-27,Blockage - Paper rag,Garden/Yard
PL2 3,2022-02-28,Blockage - Paper rag,Garden/Yard
TR11 4,2022-02-28,Blockage - Paper rag,Garden/Yard
PL21 0,2022-02-28,Blockage - Paper rag,Garden/Yard
TR14 7,2022-02-28,Blockage - Non sewage debris,Garden/Yard
EX5 4,2022-02-28,Blockage - Paper rag,Detached Garage/Store (& garages without internal connecting door to property)
PL21 0,2022-02-28,Blockage - Paper rag,Garden/Yard
TQ14 9,2022-03-01,Blockage - Paper rag,Garden/Yard
EX8 4,2022-03-01,Blockage - Non sewage debris,Garden/Yard
EX8 4,2022-03-01,Blockage - Non sewage debris,Garden/Yard
EX8 4,2022-03-02,Blockage - Paper rag,Garden/Yard
EX8 3,2022-03-02,Blockage - Roots,Garden/Yard
PL3 4,2022-03-02,Blockage - Paper rag,Garden/Yard
EX15 2,2022-03-02,Blockage - Paper rag,Driveway
EX16 7,2022-03-03,Blockage - Paper rag,Garden/Yard
PL14 4,2022-03-03,Blockage - Non sewage debris,Garden/Yard
TR27 4,2022-03-03,Blockage - Paper rag,Garden/Yard
EX8 1,2022-03-03,Blockage - Non sewage debris,Garden/Yard
TQ6 9,2022-03-03,Blockage - Paper rag,Garden/Yard
TR3 6,2022-03-03,Pump Station Breakdown,Garden/Yard
TR11 4,2022-03-03,Blockage - Paper rag,Garden/Yard
TR2 4,2022-03-03,Blockage - Non sewage debris,Garden/Yard
EX14 1,2022-03-03,Blockage - Paper rag,Garden/Yard
EX39 5,2022-03-04,Pump Station Breakdown,Garden/Yard
TQ1 4,2022-03-04,Blockage - Paper rag,Driveway
TQ10 9,2022-03-04,Blockage - Paper rag,Garden/Yard
TR8 4,2022-03-04,Blockage - Roots,Driveway
PL31 2,2022-03-04,Blockage - Paper rag,Garden/Yard
EX14 4,2022-03-05,Blockage - Paper rag,Driveway
TR1 1,2022-03-05,Blockage - Paper rag,Garden/Yard
PL4 9,2022-03-05,Blockage - Fat,Private Carpark
TQ3 3,2022-03-06,Blockage - Paper rag,Garden/Yard
PL25 3,2022-03-06,Blockage - Paper rag,Garden/Yard
PL4 8,2022-03-06,Blockage - Paper rag,Garden/Yard
PL4 8,2022-03-06,Blockage - Non sewage debris,Garden/Yard
PL25 3,2022-03-06,Blockage - Paper rag,Garden/Yard
EX12 3,2022-03-07,Blockage - Paper rag,Driveway
PL24 2,2022-03-07,Blockage - Non sewage debris,Garden/Yard
TQ6 9,2022-03-07,Blockage - Fat,Garden/Yard
TQ12 4,2022-03-07,Blockage - Paper rag,Driveway
EX22 7,2022-03-08,Blockage - Non sewage debris,Garden/Yard
PL7 1,2022-03-08,Blockage - Paper rag,Garden/Yard
PL15 9,2022-03-08,Blockage - Roots,Garden/Yard
EX4 1,2022-03-09,Blockage - Paper rag,Driveway
PL31 1,2022-03-09,Blockage - Paper rag,Garden/Yard
TR18 3,2022-03-09,Blockage - Paper rag,Garden/Yard
PL25 4,2022-03-09,Blockage - Roots,Garden/Yard
TR27 5,2022-03-10,Blockage - Non sewage debris,Garden/Yard
TR15 1,2022-03-10,Blockage - Paper rag,Garden/Yard
TQ10 9,2022-03-11,Blockage - Fat,Garden/Yard
TR15 2,2022-03-11,Blockage - Non sewage debris,Garden/Yard
TA22 9,2022-03-11,Blockage - Non sewage debris,Garden/Yard
EX7 0,2022-03-12,Blockage - Paper rag,Garden/Yard
TR4 8,2022-03-13,Blockage - Non sewage debris,Garden/Yard
PL13 2,2022-03-13,Blockage - Paper rag,Garden/Yard
PL30 5,2022-03-13,Blockage - Paper rag,Garden/Yard
TR15 1,2022-03-13,Blockage - Roots,Garden/Yard
TR15 3,2022-03-13,Hydraulic Overload,Garden/Yard
PL25 5,2022-03-14,Blockage - Paper rag,Garden/Yard
EX16 6,2022-03-14,Blockage - Paper rag,Garden/Yard
TR11 2,2022-03-14,Blockage - Non sewage debris,Garden/Yard
TA20 2,2022-03-14,Blockage - Non sewage debris,Garden/Yard
PL31 1,2022-03-14,Blockage - Paper rag,Driveway
PL24 2,2022-03-15,Blockage - Non sewage debris,Garden/Yard
TR7 3,2022-03-15,Blockage - Paper rag,Garden/Yard
TR16 6,2022-03-15,Blockage - Paper rag,Garden/Yard
TQ5 9,2022-03-15,Blockage - Paper rag,Garden/Yard
PL2 2,2022-03-15,Blockage - Paper rag,Garden/Yard
TR16 6,2022-03-15,Blockage - Paper rag,Garden/Yard
PL24 2,2022-03-15,Blockage - Non sewage debris,Garden/Yard
TR14 0,2022-03-16,Blockage - Paper rag,Garden/Yard
PL7 2,2022-03-16,Blockage - Paper rag,Garden/Yard
TQ2 8,2022-03-16,Blockage - Fat,Garden/Yard
TQ1 1,2022-03-17,Blockage - Paper rag,Garden/Yard
PL24 2,2022-03-17,Blockage - Paper rag,Garden/Yard
PL15 9,2022-03-17,Blockage - Paper rag,Driveway
TR26 2,2022-03-17,Blockage - Fat,Garden/Yard
EX4 2,2022-03-17,Blockage - Non sewage debris,Garden/Yard
PL24 2,2022-03-17,Blockage - Paper rag,Garden/Yard
TQ14 8,2022-03-18,Blockage - Paper rag,Garden/Yard
TR26 2,2022-03-18,Blockage - Paper rag,Garden/Yard
PL25 5,2022-03-18,Blockage - Paper rag,Driveway
TR26 2,2022-03-18,Blockage - Fat,Garden/Yard
EX20 3,2022-03-18,Blockage - Paper rag,Garden/Yard
PL24 2,2022-03-19,Blockage - Paper rag,Garden/Yard
TQ2 7,2022-03-19,Blockage - Paper rag,Driveway
PL5 4,2022-03-20,Blockage - Paper rag,Garden/Yard
PL20 6,2022-03-20,Blockage - Paper rag,Driveway
TQ3 3,2022-03-20,Blockage - Paper rag,Garden/Yard
EX4 2,2022-03-20,Blockage - Paper rag,Garden/Yard
PL5 1,2022-03-20,Blockage - Paper rag,Garden/Yard
EX33 2,2022-03-20,Blockage - Paper rag,Garden/Yard
TQ2 6,2022-03-20,Blockage - Roots,Garden/Yard
PL5 4,2022-03-20,Blockage - Paper rag,Garden/Yard
PL23 1,2022-03-21,Blockage - Paper rag,Garden/Yard
PL25 3,2022-03-21,Blockage - Paper rag,Garden/Yard
PL3 6,2022-03-21,Blockage - Non sewage debris,Garden/Yard
TQ13 9,2022-03-21,Blockage - Roots,Garden/Yard
